timestamp,x1,y1,z1,x2,y2,z2
1765391735592849453,0.685,2.069,11.289,,,
1765391735600311068,0.634,1.86,11.143,,,
1765391735607287005,0.63,1.867,11.076,,,
1765391735614155599,0.702,2.028,11.133,,,
1765391735620828932,0.68,1.963,11.179,,,
1765391735627854453,0.666,1.966,11.284,,,
1765391735634655495,0.618,1.858,11.08,,,
1765391735641597526,0.663,2.061,11.212,,,
1765391735648099192,0.845,2.03,11.286,,,
1765391735653714297,0.651,1.99,11.162,,,
1765391735658982786,0.622,2.131,11.114,,,
1765391735664064765,0.658,2.119,11.138,,,
1765391735669182578,0.668,2.033,11.102,,,
1765391735674262578,0.754,1.846,11.119,,,
1765391735679414297,0.742,2.004,11.114,,,
1765391735684482474,0.694,2.021,11.248,,,
1765391735689557630,0.553,1.92,11.004,,,
1765391735694610026,0.527,1.935,11.133,,,
1765391735700293932,0.749,2.002,11.123,,,
1765391735705528724,0.809,1.903,11.26,,,
1765391735710647057,0.577,2.018,11.097,,,
1765391735715732109,0.879,1.942,11.037,,,
1765391735720816276,0.67,1.901,11.04,,,
1765391735725890182,0.694,1.994,11.138,,,
1765391735730980963,0.694,2.061,11.09,,,
1765391735736067422,0.62,1.915,10.965,,,
1765391735741150130,0.587,2.071,11.016,,,
1765391735747147317,0.661,1.901,11.181,,,
1765391735752626953,0.658,2.014,11.08,,,
1765391735757771797,0.721,2.009,11.064,,,
1765391735762829557,0.702,2.028,11.035,,,
1765391735767956849,0.654,2.004,11.064,,,
1765391735773052057,0.661,2.095,11.056,,,
1765391735778148984,0.611,1.97,11.121,,,
1765391735783195026,0.895,1.966,11.107,,,
1765391735788269245,0.649,2.088,11.119,,,
1765391735793354609,0.654,1.999,11.183,,,
1765391735798626067,0.606,2.006,11.068,,,
1765391735803757317,0.73,1.997,11.04,,,
1765391735809349661,0.634,1.908,11.128,,,
1765391735814456536,0.606,1.894,11.128,,,
1765391735819580963,0.843,2.109,11.159,,,
1765391735824631901,0.699,2.078,11.054,,,
1765391735829697838,0.797,1.887,11.09,,,
1765391735834775911,0.663,2.073,11.15,,,
1765391735840083203,0.759,1.915,11.028,,,
1765391735845198411,0.704,1.978,11.068,,,
1765391735850909974,0.601,1.872,11.001,,,
1765391735856153567,0.69,1.999,11.231,,,
1765391735861260182,0.716,1.963,11.241,,,
1765391735866421015,0.716,1.949,10.956,,,
1765391735871535859,0.654,2.037,11.217,,,
1765391735876667213,0.74,1.839,11.15,,,
1765391735881767838,0.836,1.915,11.078,,,
1765391735886875651,0.69,2.037,11.085,,,
1765391735894372994,0.642,2.014,11.1,,,
1765391735899930286,0.86,1.911,10.956,,,
1765391735905093047,0.639,1.899,11.111,,,
1765391735910205911,0.515,1.901,11.083,,,
1765391735915765078,0.639,2.004,11.049,,,
1765391735920884765,0.678,2.009,11.123,,,
1765391735926008776,0.589,2.116,11.133,,,
1765391735931132369,0.649,2.006,11.04,,,
1765391735936372265,0.699,2.116,11.111,,,
1765391735941419349,0.742,2.078,11.15,,,
1765391735947130338,0.883,2.102,11.009,,,
1765391735952284036,0.725,1.736,11.128,,,
1765391735957762682,0.831,1.98,11.042,,,
1765391735962850026,0.692,1.98,10.906,,,
1765391735967974817,0.615,2.088,11.09,,,
1765391735973032942,0.73,2.085,11.066,,,
1765391735978230651,0.675,1.923,11.198,,,
1765391735983272994,0.642,2.066,10.994,,,
1765391735988402942,0.86,2.059,11.114,,,
1765391735993488619,0.812,1.894,11.226,,,
1765391735998760078,0.515,1.894,11.104,,,
1765391736003806588,0.864,2.073,11.121,,,
1765391736008869401,0.68,2.105,11.135,,,
1765391736013959557,0.764,1.992,11.032,,,
1765391736019093099,0.625,1.935,11.14,,,
1765391736025069505,0.46,1.973,10.757,,,
1765391736030601328,0.62,2.128,11.111,,,
1765391736035709713,0.797,2.131,11.121,,,
1765391736040756849,0.661,2.069,11.076,,,
1765391736045862109,0.709,2.105,11.143,,,
1765391736051079817,0.728,1.949,11.145,,,
1765391736056243151,0.637,2.054,11.107,,,
1765391736061350651,0.687,2.076,11.238,,,
1765391736066875547,0.637,1.966,11.028,,,
1765391736072113776,0.558,2.011,11.095,,,
1765391736077315026,0.776,1.92,11.169,,,
1765391736082371588,0.716,1.913,11.174,,,
1765391736087463411,0.673,2.116,11.114,,,
1765391736092509088,0.567,1.915,11.119,,,
1765391736097883567,0.668,1.985,10.968,,,
1765391736102986380,0.656,1.841,11.092,,,
1765391736108139192,0.663,2.057,11.073,,,
1765391736113231484,0.498,1.999,10.994,,,
1765391736118443828,0.625,1.958,11.119,,,
1765391736123550234,0.661,1.908,11.009,,,
1765391736128654661,0.68,1.877,11.128,,,
1765391736136275651,0.69,1.856,11.097,,,
1765391736141886276,0.637,1.863,11.15,,,
