timestamp,x1,y1,z1,x2,y2,z2
[1758217078541489797],1.64,0.273,11.231,,,
[1758217078549427766],1.635,0.294,11.315,,,
[1758217078557175058],1.671,0.237,11.351,,,
[1758217078564853131],1.662,0.263,11.322,,,
[1758217078572565006],1.549,0.29,11.303,,,
[1758217078580082349],1.705,0.153,11.31,,,
[1758217078587642714],1.563,0.263,11.485,,,
[1758217078595037766],1.695,0.278,11.152,,,
[1758217078602703391],1.697,0.318,11.207,,,
[1758217078610094954],1.683,0.436,11.076,,,
[1758217078617315318],1.683,0.316,11.475,,,
[1758217078623740162],1.7,0.189,11.032,,,
[1758217078630089120],1.702,0.175,11.234,,,
[1758217078636830006],1.724,0.412,11.31,,,
[1758217078643309693],1.743,0.335,11.241,,,
[1758217078649938235],1.697,0.285,11.088,,,
[1758217078656410422],1.709,0.333,11.303,,,
[1758217078662890579],1.772,0.388,11.167,,,
[1758217078669358078],1.707,0.247,11.2,,,
[1758217078675845995],1.702,0.168,11.334,,,
[1758217078682096099],1.755,0.199,11.226,,,
[1758217078688494693],1.834,0.208,11.169,,,
[1758217078695276360],1.554,0.28,11.145,,,
[1758217078701786620],1.693,0.201,11.14,,,
[1758217078708273183],1.714,0.194,11.2,,,
[1758217078714751360],1.686,0.302,11.097,,,
[1758217078720440370],1.731,0.148,11.248,,,
[1758217078726299537],1.714,0.271,11.186,,,
[1758217078731957818],1.925,0.153,11.155,,,
[1758217078737455214],1.726,0.254,11.169,,,
[1758217078743131672],1.709,0.28,11.083,,,
[1758217078749123235],1.707,0.213,11.088,,,
[1758217078754754537],1.757,0.232,11.298,,,
[1758217078760656620],1.736,0.213,11.25,,,
[1758217078766364797],1.939,0.249,11.162,,,
[1758217078772027974],1.635,0.249,11.226,,,
[1758217078777690943],1.748,0.199,11.293,,,
[1758217078783297870],1.753,0.208,11.291,,,
[1758217078788934224],1.738,0.208,11.332,,,
[1758217078794568339],1.745,0.247,11.219,,,
[1758217078800292037],1.906,0.204,11.281,,,
[1758217078805985162],1.731,0.247,11.076,,,
[1758217078811495995],1.765,0.158,11.092,,,
[1758217078817201464],1.638,0.16,11.073,,,
[1758217078822964224],1.714,0.158,11.092,,,
[1758217078829799224],1.726,0.28,11.19,,,
[1758217078836423235],1.714,0.251,11.473,,,
[1758217078842842818],1.765,0.189,11.138,,,
[1758217078849479485],1.796,0.34,11.145,,,
[1758217078856084901],1.772,0.189,11.169,,,
[1758217078862749537],1.788,0.153,11.258,,,
[1758217078869440058],1.803,0.268,11.442,,,
[1758217078875992401],1.915,0.424,11.274,,,
[1758217078882520995],1.772,0.268,11.322,,,
[1758217078888984276],1.781,0.215,11.095,,,
[1758217078895315735],1.779,0.29,11.198,,,
[1758217078902009641],1.98,0.275,11.061,,,
[1758217078908541724],1.755,0.333,11.224,,,
[1758217078915031203],1.75,0.249,11.27,,,
[1758217078920666203],1.92,0.251,11.272,,,
[1758217078926419797],1.793,0.316,11.162,,,
[1758217078932075005],1.949,0.22,11.159,,,
[1758217078937702453],1.786,0.223,11.2,,,
[1758217078942709953],1.779,0.194,11.281,,,
[1758217078948385891],1.69,0.316,11.243,,,
[1758217078953861412],1.985,0.251,11.064,,,
[1758217078959796308],1.784,0.261,11.243,,,
[1758217078965349380],1.798,0.287,11.155,,,
[1758217078971010891],1.772,0.23,11.159,,,
[1758217078976512558],1.844,0.256,11.238,,,
[1758217078982072141],1.765,0.244,11.286,,,
[1758217078987879693],1.824,0.242,11.15,,,
[1758217078993356464],1.75,0.266,11.229,,,
[1758217078999054953],1.767,0.28,11.305,,,
[1758217079004729901],1.729,0.259,11.126,,,
[1758217079010472193],1.772,0.239,11.131,,,
[1758217079016134537],1.918,0.187,11.08,,,
[1758217079022403287],1.815,0.158,11.229,,,
[1758217079029016828],1.788,0.23,11.145,,,
