time_abs_s,time_rel_s,z1_raw,z1_rot_fit,z1_compensated
1758217986.514618,1.797861099243164,-1.053,-6.655576987598824,5.602576987598824
1758217986.5209994,1.8042426109313965,-1.348,-6.723706497851021,5.375706497851021
1758217986.5278904,1.811133623123169,-1.528,-6.795758888833226,5.267758888833226
1758217986.5343666,1.8176097869873047,-2.016,-6.862023771241159,4.846023771241159
1758217986.5409174,1.8241605758666992,-2.136,-6.927608967900255,4.791608967900255
1758217986.5474195,1.830662727355957,-2.559,-6.9912584419483705,4.43225844194837
1758217986.553905,1.8371481895446777,-2.464,-7.05329373518386,4.58929373518386
1758217986.560389,1.8436322212219238,-2.952,-7.113854254904908,4.161854254904908
1758217986.566964,1.8502070903778076,-2.653,-7.173758787690946,4.520758787690946
1758217986.5733366,1.8565797805786133,-3.316,-7.230363753771156,3.9143637537711564
1758217986.579863,1.8631062507629395,-3.23,-7.286835844167524,4.056835844167525
1758217986.5862107,1.8694539070129395,-3.232,-7.3402948064350575,4.108294806435057
1758217986.5929813,1.8762245178222656,-3.443,-7.395710767984587,3.952710767984587
1758217986.5994394,1.8826825618743896,-3.917,-7.447013565328887,3.530013565328887
1758217986.605993,1.8892362117767334,-3.194,-7.497513039265439,4.3035130392654395
1758217986.6124725,1.8957157135009766,-4.305,-7.545883254167221,3.2408832541672217
1758217986.6189356,1.9021787643432617,-3.721,-7.5925776987321925,3.8715776987321924
1758217986.6254163,1.9086594581604004,-5.071,-7.637832777574142,2.5668327775741426
1758217986.6320376,1.915280818939209,-4.772,-7.682440169661294,2.9104401696612934
1758217986.6385143,1.921757459640503,-5.131,-7.724469725736999,2.593469725736999
1758217986.6449852,1.9282283782958984,-5.488,-7.764870509455875,2.2768705094558745
1758217986.65142,1.9346632957458496,-5.107,-7.803460737037502,2.696460737037502
1758217986.6577876,1.941030740737915,-5.069,-7.840082160102024,2.771082160102024
1758217986.663317,1.9465601444244385,-5.629,-7.870615880684836,2.2416158806848365
1758217986.669068,1.9523112773895264,-5.468,-7.901118545172931,2.433118545172931
1758217986.6747215,1.9579646587371826,-6.364,-7.9298504078256435,1.5658504078256437
1758217986.6804712,1.963714361190796,-6.081,-7.957793663035513,1.8767936630355129
1758217986.6861591,1.9694023132324219,-6.249,-7.984164218079867,1.7351642180798672
1758217986.6918974,1.9751405715942383,-6.579,-8.009481228439125,1.4304812284391248
1758217986.6975582,1.9808013439178467,-6.302,-8.033186071729176,1.7311860717291765
1758217986.7032516,1.986494779586792,-6.653,-8.055751357949667,1.4027513579496675
1758217986.708926,1.9921691417694092,-7.034,-8.07696395614628,1.0429639561462798
1758217986.7146223,1.9978654384613037,-6.9,-8.09697287065087,1.1969728706508693
1758217986.7203887,2.003631830215454,-7.831,-8.115912759576528,0.2849127595765273
1758217986.7260475,2.0092906951904297,-6.038,-8.133210040279351,2.095210040279351
1758217986.7320607,2.01530385017395,-8.162,-8.150187500676395,-0.011812499323605508
1758217986.7378423,2.021085500717163,-7.18,-8.165145676959575,0.9851456769595757
1758217986.7435453,2.0267884731292725,-7.523,-8.178586258230808,0.6555862582308087
1758217986.7493026,2.032545804977417,-8.09,-8.1908290342393,0.10082903423930034
1758217986.7550309,2.038274049758911,-5.804,-8.20168589132958,2.39768589132958
1758217986.7615204,2.0447635650634766,-8.119,-8.21238777526186,0.09338777526185993
1758217986.7680283,2.051271438598633,-6.749,-8.221413246639047,1.4724132466390474
1758217986.774396,2.0576391220092773,-7.666,-8.228588249197907,0.5625882491979066
1758217986.7812579,2.0645010471343994,-8.334,-8.234484877630383,-0.0995151223696169
1758217986.7878687,2.0711119174957275,-9.009,-8.238363914940088,-0.7706360850599125
1758217986.7943618,2.0776050090789795,-7.853,-8.240451732462564,0.3874517324625639
1758217986.800906,2.084149122238159,-7.448,-8.240828719251,0.7928287192510002
1758217986.8073595,2.0906026363372803,-8.205,-8.239502257343704,0.03450225734370349
1758217986.8138516,2.097094774246216,-8.365,-8.236466565562644,-0.12853343443735632
1758217986.8203561,2.1035993099212646,-11.03,-8.231714439091594,-2.798285560908406
1758217986.826854,2.1100971698760986,-10.309,-8.225258525495938,-2.0837414745040608
1758217986.8333614,2.1166045665740967,-10.704,-8.217082910375867,-2.486917089624134
1758217986.8398206,2.123063802719116,-9.404,-8.207276924836018,-1.1967230751639821
1758217986.846317,2.1295602321624756,-10.029,-8.195717303952357,-1.8332826960476432
1758217986.852779,2.1360220909118652,-9.081,-8.18253304821777,-0.898466951782229
1758217986.8587663,2.1420094966888428,-9.287,-8.168818170117651,-1.1181818298823494
1758217986.864419,2.1476621627807617,-9.692,-8.15454933855692,-1.5374506614430796
1758217986.8702264,2.1534695625305176,-8.705,-8.138556394069584,-0.5664436059304165
1758217986.8760295,2.1592726707458496,-10.613,-8.121227819664545,-2.4917721803354542
1758217986.8817334,2.1649765968322754,-8.875,-8.102885530262737,-0.7721144697372626
1758217986.8874314,2.1706745624542236,-10.841,-8.083268748036067,-2.757731251963932
1758217986.8931735,2.1764166355133057,-9.802,-8.062195203602618,-1.7398047963973813
1758217986.898981,2.1822242736816406,-9.369,-8.03955199382299,-1.3294480061770102
1758217986.9045384,2.187781572341919,-10.388,-8.016636812695651,-2.3713631873043486
1758217986.9101343,2.1933774948120117,-9.273,-7.992332610008708,-1.280667389991292
1758217986.9158258,2.199069023132324,-10.709,-7.966351139484262,-2.7426488605157378
1758217986.9215472,2.2047903537750244,-9.797,-7.938954974611523,-1.8580450253884777
1758217986.9272873,2.2105305194854736,-10.032,-7.910184650264597,-2.121815349735403
1758217986.9330745,2.216317653656006,-10.518,-7.879881656917643,-2.6381183430823576
1758217986.938793,2.222036123275757,-9.498,-7.848663544945895,-1.6493364550541045
1758217986.944473,2.2277162075042725,-10.652,-7.81640555205579,-2.8355944479442092
1758217986.9500294,2.2332725524902344,-8.703,-7.783650304846555,-0.9193496951534446
1758217986.9555652,2.2388083934783936,-9.167,-7.74984061220069,-1.4171593877993098
1758217986.9619052,2.2451484203338623,-10.795,-7.709684732462278,-3.0853152675377222
1758217986.9683876,2.2516307830810547,-8.722,-7.667051328609667,-1.0549486713903322
1758217986.9753962,2.258639335632324,-9.112,-7.61917443473068,-1.49282556526932
1758217986.9819472,2.265190362930298,-10.034,-7.572757869681864,-2.461242130318137
1758217986.9884603,2.2717034816741943,-9.436,-7.525024649583037,-1.9109753504169626
1758217986.9948163,2.278059482574463,-10.242,-7.476928376680339,-2.7650716233196615
1758217987.001339,2.2845821380615234,-10.412,-7.426025554988453,-2.985974445011548
1758217987.0079582,2.29120135307312,-8.495,-7.372779459312777,-1.1222205406872225
1758217987.0144854,2.2977285385131836,-10.424,-7.318716447251695,-3.105283552748305
1758217987.0210495,2.304292678833008,-8.444,-7.262799180483592,-1.181200819516409
1758217987.0277815,2.3110246658325195,-9.936,-7.203851688177237,-2.7321483118227627
1758217987.0345507,2.317793846130371,-9.838,-7.142957398525706,-2.6950426014742934
1758217987.041545,2.3247880935668945,-10.432,-7.078345197562471,-3.3536548024375294
1758217987.048112,2.331355094909668,-10.36,-7.016126871705427,-3.3438731282945726
1758217987.054638,2.337881088256836,-11.068,-6.9528201740347715,-4.115179825965228
1758217987.0606098,2.343852996826172,-8.155,-6.893609530705382,-1.261390469294617
1758217987.0663683,2.349611520767212,-9.543,-6.835366890146166,-2.707633109853833
1758217987.0721352,2.3553783893585205,-9.752,-6.775920079828211,-2.97607992017179
1758217987.0777404,2.3609836101531982,-10.333,-6.7170747545469,-3.6159252454531003
1758217987.0837564,2.366999626159668,-10.132,-6.652759150960791,-3.4792408490392086
1758217987.0895956,2.3728387355804443,-9.957,-6.589199028157674,-3.3678009718423265
1758217987.0953722,2.378615379333496,-11.147,-6.525228295680565,-4.6217717043194355
1758217987.1012294,2.384472608566284,-9.783,-6.459268282487442,-3.3237317175125574
1758217987.1069705,2.39021372795105,-10.271,-6.393554470204614,-3.877445529795387
1758217987.1127682,2.3960113525390625,-10.269,-6.326138340967701,-3.9428616590322996
1758217987.1186016,2.4018447399139404,-9.227,-6.257246848640712,-2.9697531513592885
1758217987.1243727,2.407615900039673,-9.776,-6.188055527148622,-3.587944472851378
1758217987.1302783,2.4135215282440186,-10.611,-6.116198291258287,-4.494801708741714
1758217987.1360703,2.419313430786133,-9.618,-6.0447011296985655,-3.573298870301435
1758217987.141731,2.424974203109741,-9.934,-5.973854305487923,-3.960145694512076
1758217987.147365,2.4306082725524902,-9.079,-5.902402119035011,-3.17659788096499
1758217987.153089,2.4363322257995605,-9.56,-5.828861433509289,-3.7311385664907117
1758217987.1588378,2.4420809745788574,-8.66,-5.7540515560282754,-2.9059484439717247
1758217987.1645107,2.44775390625,-8.605,-5.679306044499902,-2.9256939555000985
1758217987.170506,2.453749179840088,-9.232,-5.599330653878238,-3.6326693461217614
1758217987.1762738,2.459517002105713,-9.182,-5.521448959392819,-3.6605510406071815
1758217987.1819463,2.4651894569396973,-8.911,-5.443967790033482,-3.4670322099665176
1758217987.1877532,2.470996379852295,-9.048,-5.363751215647872,-3.6842487843521283
1758217987.1934261,2.4766693115234375,-9.222,-5.284520048286727,-3.9374799517132724
1758217987.1992188,2.482461929321289,-8.696,-5.202747493048873,-3.4932525069511264
1758217987.20489,2.488133192062378,-9.4,-5.12184930360515,-4.27815069639485
1758217987.2106972,2.4939403533935547,-8.756,-5.038165860069137,-3.717834139930863
1758217987.2164812,2.4997243881225586,-8.262,-4.953977491671093,-3.308022508328907
1758217987.222247,2.5054900646209717,-8.559,-4.869237354957421,-3.6897626450425784
1758217987.2279036,2.5111467838287354,-7.875,-4.785317126584962,-3.089682873415038
1758217987.233692,2.516935110092163,-7.791,-4.69865683444723,-3.0923431655527702
1758217987.2396448,2.522887945175171,-8.186,-4.608717314227402,-3.577282685772598
1758217987.2453058,2.5285489559173584,-7.35,-4.522432968139863,-2.827567031860137
1758217987.251162,2.53440523147583,-8.775,-4.432413469368272,-4.342586530631729
1758217987.2568617,2.540104866027832,-6.175,-4.344074690851293,-1.8309253091487072
1758217987.26342,2.546663284301758,-7.075,-4.241556332181022,-2.833443667818978
1758217987.2700949,2.553338050842285,-8.018,-4.136285276031561,-3.8817147239684395
1758217987.276638,2.5598812103271484,-7.111,-4.032197081984858,-3.0788029180151417
1758217987.2831237,2.5663669109344482,-6.823,-3.9281720070181665,-2.894827992981834
1758217987.289625,2.5728681087493896,-6.862,-3.823069467110984,-3.038930532889016
1758217987.2959373,2.5791804790496826,-7.084,-3.7202458876613385,-3.363754112338661
1758217987.3026435,2.5858867168426514,-6.728,-3.610193711425415,-3.117806288574585
1758217987.3090878,2.5923309326171875,-6.78,-3.5036742874144067,-3.2763257125855936
1758217987.3155255,2.598768711090088,-6.235,-3.39653218195785,-2.8384678180421505
1758217987.3222284,2.605471611022949,-7.309,-3.28422652172263,-4.02477347827737
1758217987.3287287,2.611971855163574,-5.471,-3.1746071153435333,-2.2963928846564667
1758217987.3352034,2.6184465885162354,-6.361,-3.0647461791074604,-3.2962538208925394
1758217987.3417706,2.625013828277588,-5.578,-2.9526536621670467,-2.6253463378329536
1758217987.348258,2.6315011978149414,-6.345,-2.841292610629178,-3.5037073893708217
1758217987.3547416,2.6379847526550293,-5.306,-2.729392399483706,-2.576607600516294
1758217987.3606513,2.6438944339752197,-5.938,-2.62688937466135,-3.3111106253386495
1758217987.3662527,2.649495840072632,-6.096,-2.5293029304956214,-3.5666970695043787
1758217987.3719273,2.655170440673828,-4.805,-2.4300295971799675,-2.3749704028200322
1758217987.3777492,2.660992383956909,-5.246,-2.3277640773623385,-2.918235922637662
1758217987.3836842,2.6669273376464844,-4.638,-2.223098549990289,-2.414901450009711
1758217987.3893604,2.6726036071777344,-4.63,-2.122619445670421,-2.507380554329579
1758217987.3950634,2.6783065795898438,-4.197,-2.021313874144396,-2.175686125855604
1758217987.40083,2.6840732097625732,-3.991,-1.9185331729208492,-2.072466827079151
1758217987.406516,2.6897592544555664,-4.657,-1.8168658016065327,-2.8401341983934674
1758217987.4122047,2.6954479217529297,-3.721,-1.7148465991893822,-2.006153400810618
1758217987.417881,2.7011241912841797,-3.007,-1.6127616225996009,-1.3942383774003992
1758217987.4234123,2.706655502319336,-3.536,-1.513021970133313,-2.022978029866687
1758217987.4289231,2.7121663093566895,-3.16,-1.413409962024776,-1.7465900379752242
1758217987.434661,2.7179040908813477,-3.278,-1.309454233390185,-1.968545766609815
1758217987.4404688,2.7237119674682617,-2.71,-1.2039948710915616,-1.5060051289084384
1758217987.446134,2.729377269744873,-2.641,-1.1009142428264171,-1.5400857571735829
1758217987.4518347,2.7350778579711914,-2.662,-0.9969984419075224,-1.6650015580924775
1758217987.4575477,2.740790843963623,-2.957,-0.8926786308941308,-2.064321369105869
1758217987.4633448,2.7465879917144775,-2.392,-0.7866567558176822,-1.6053432441823177
1758217987.470248,2.753491163253784,-2.863,-0.660213883608741,-2.202786116391259
1758217987.4767716,2.760014772415161,-1.867,-0.5405550163327366,-1.3264449836672634
1758217987.4833982,2.76664137840271,-2.131,-0.4188653347655773,-1.7121346652344225
1758217987.4901805,2.773423671722412,-1.228,-0.29419569309941346,-0.9338043069005866
1758217987.4966981,2.7799413204193115,-0.867,-0.17430095878286622,-0.6926990412171338
1758217987.5031788,2.78642201423645,-0.553,-0.055023567007590174,-0.4979764329924099
1758217987.5095553,2.7927985191345215,-0.704,0.06237344634818291,-0.7663734463481828
1758217987.5161731,2.7994163036346436,-1.142,0.1842268184546359,-1.3262268184546357
1758217987.5226927,2.805935859680176,-1.453,0.30426083817657423,-1.7572608381765744
1758217987.52908,2.8123230934143066,0.187,0.42182446573106996,-0.23482446573106996
1758217987.535711,2.8189542293548584,-0.436,0.5438165764920908,-0.9798165764920908
1758217987.5423434,2.8255865573883057,0.441,0.6657430420441902,-0.2247430420441902
1758217987.5487506,2.831993818283081,0.565,0.7834244220399509,-0.21842442203995094
1758217987.5554829,2.838726043701172,0.393,0.9069346476171158,-0.5139346476171158
1758217987.5615351,2.844778299331665,-0.328,1.0178258760814027,-1.3458258760814028
1758217987.5673158,2.8505589962005615,0.287,1.1235953003653454,-0.8365953003653455
1758217987.5730882,2.8563313484191895,0.543,1.2290521689012646,-0.6860521689012645
1758217987.5789363,2.8621795177459717,1.061,1.3357138304768712,-0.27471383047687126
1758217987.5847492,2.867992401123047,0.907,1.4415346887920208,-0.5345346887920208
1758217987.5905957,2.8738389015197754,1.135,1.5477516644386011,-0.4127516644386011
1758217987.5964117,2.879654884338379,0.876,1.6531820560431074,-0.7771820560431074
1758217987.602109,2.88535213470459,0.84,1.7562189609378072,-0.9162189609378072
1758217987.6076698,2.8909130096435547,1.305,1.8565437301211125,-0.5515437301211126
1758217987.6134505,2.896693706512451,1.369,1.9605607608188678,-0.5915607608188678
1758217987.619102,2.9023451805114746,2.09,2.061967043663693,0.028032956336306647
1758217987.6248431,2.9080862998962402,1.137,2.164676563618032,-1.0276765636180318
1758217987.6306977,2.913940906524658,1.472,2.2690826186937603,-0.7970826186937603
1758217987.6365561,2.919799327850342,1.693,2.3732021213739167,-0.6802021213739167
1758217987.6424866,2.925729751586914,1.772,2.4782223643118155,-0.7062223643118155
1758217987.6477,2.930943250656128,2.595,2.57021778587377,0.024782214126230162
1758217987.6535172,2.936760425567627,1.245,2.6724865981942063,-1.4274865981942062
1758217987.6590822,2.9423253536224365,3.764,2.7699319294641254,0.9940680705358744
