timestamp,frequency_hz
[1758212628582292297],148.15
[1758212628589455578],148.15
[1758212628596529120],148.15
[1758212628603591985],148.15
[1758212628610395578],148.15
[1758212628617094485],148.15
[1758212628624206308],148.15
[1758212628630813860],148.15
[1758212628637954276],148.15
[1758212628644271828],148.15
[1758212628650865891],148.15
[1758212628657346308],148.15
[1758212628663934641],148.15
[1758212628670533860],148.15
[1758212628677071672],148.15
[1758212628682706047],148.15
[1758212628688532037],148.15
[1758212628693699328],148.15
[1758212628698814016],148.15
[1758212628703921620],148.15
[1758212628709028651],148.15
[1758212628714202193],148.15
[1758212628719451099],148.15
[1758212628724851985],148.15
[1758212628729975005],148.15
[1758212628735191568],148.15
[1758212628740328755],148.15
[1758212628745455005],148.15
[1758212628750575162],148.15
[1758212628755753912],148.15
[1758212628761010422],148.15
[1758212628766137610],148.15
[1758212628771248755],148.15
[1758212628776379953],148.15
[1758212628781503495],148.15
[1758212628786724745],148.15
[1758212628791856776],148.15
[1758212628798194537],148.15
[1758212628803775995],148.15
[1758212628808957714],148.15
[1758212628814070943],148.15
[1758212628819207089],148.15
[1758212628824365735],148.15
[1758212628829469953],148.15
[1758212628835055995],148.15
[1758212628840181880],148.15
[1758212628845283808],148.15
[1758212628850403443],148.15
[1758212628855553235],148.15
[1758212628860646568],148.15
[1758212628865746516],148.15
[1758212628870851203],148.15
[1758212628876028547],148.15
[1758212628881220370],148.15
[1758212628886484589],148.15
[1758212628891628078],148.15
[1758212628896789537],148.15
[1758212628901884224],148.15
[1758212628907003078],148.15
[1758212628912589693],148.15
[1758212628917779120],148.15
[1758212628923017401],148.15
[1758212628928144380],148.15
[1758212628933338599],148.15
[1758212628938497870],148.15
[1758212628945773443],148.15
[1758212628951467662],148.15
[1758212628956611464],148.15
[1758212628961722662],148.15
[1758212628966867193],148.15
[1758212628971978391],148.15
[1758212628977126828],148.15
[1758212628982346203],148.15
[1758212628987561047],148.15
[1758212628992794485],148.15
[1758212628998005735],148.15
[1758212629003126412],148.15
[1758212629008241151],148.15
[1758212629013378703],148.15
[1758212629019036464],148.15
[1758212629024187505],148.15
[1758212629029323755],148.15
[1758212629034554016],148.15
[1758212629039719485],148.15
[1758212629044850162],148.15
[1758212629049980057],148.15
[1758212629055175214],148.15
[1758212629063784849],148.15
[1758212629070108182],148.15
[1758212629075358755],148.15
[1758212629080529172],148.15
[1758212629085757766],148.15
[1758212629090867089],148.15
[1758212629095977766],148.15
[1758212629101078182],148.15
[1758212629106211047],148.15
[1758212629111393182],148.15
[1758212629116651203],148.15
[1758212629121774120],148.15
[1758212629128264589],148.15
[1758212629133530734],148.15
[1758212629138629068],148.15
[1758212629143780891],148.15
[1758212629148900682],148.15
[1758212629154008651],148.15
[1758212629159130526],148.15
[1758212629164288234],148.15
[1758212629169739432],148.15
[1758212629174980891],148.15
[1758212629180103443],148.15
[1758212629185330474],148.15
[1758212629190442089],148.15
[1758212629195540005],148.15
[1758212629200645109],148.15
[1758212629205794641],148.15
[1758212629210966672],148.15
[1758212629216202037],148.15
[1758212629221330995],148.15
[1758212629226464484],148.15
[1758212629231607453],148.15
